,link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,postal_code_str,province
1299,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20275186,20275186,Oudenaarde,9700,265000.0,HOUSE,HOUSE,4,180.0,,0,0.0,,2.0,0,260.0,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,9700,Oost-Vlaanderen
1300,https://www.immoweb.be/en/classified/house/for-sale/bevere/9700/20275869,20275869,Bevere,9700,300000.0,HOUSE,HOUSE,3,229.0,,0,0.0,,0.0,0,1009.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,9700,Oost-Vlaanderen
1301,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20275185,20275185,Oudenaarde,9700,245000.0,APARTMENT,APARTMENT,2,80.0,,0,0.0,,0.0,0,,INSTALLED,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1302,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20267628,20267628,Oudenaarde,9700,399000.0,HOUSE,HOUSE,3,216.0,1.0,0,,,2.0,0,257.0,,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1303,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/oudenaarde/9700/20258662,20258662,Oudenaarde,9700,1250000.0,HOUSE,MIXED_USE_BUILDING,4,240.0,0.0,0,,,4.0,0,33827.0,,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1304,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20276054,20276054,Oudenaarde,9700,499500.0,APARTMENT,APARTMENT,3,152.0,1.0,0,5.0,,4.0,0,,INSTALLED,AS_NEW,FOR_SALE,9700,Oost-Vlaanderen
1305,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/oudenaarde/9700/20276052,20276052,Oudenaarde,9700,1295000.0,HOUSE,MIXED_USE_BUILDING,12,1000.0,1.0,0,,,0.0,0,570.0,INSTALLED,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1306,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20276586,20276586,Oudenaarde,9700,259600.0,APARTMENT,APARTMENT,2,87.0,0.0,0,5.0,,2.0,0,,,,FOR_SALE,9700,Oost-Vlaanderen
1307,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20275860,20275860,Oudenaarde,9700,295000.0,APARTMENT,APARTMENT,2,107.0,,0,0.0,,0.0,0,,SEMI_EQUIPPED,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1308,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20251399,20251399,Oudenaarde,9700,165000.0,HOUSE,HOUSE,3,117.0,1.0,0,,,2.0,0,293.0,,TO_RENOVATE,FOR_SALE,9700,Oost-Vlaanderen
1309,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20264142,20264142,Oudenaarde,9700,347500.0,HOUSE,HOUSE,3,112.0,0.0,0,,,2.0,0,249.0,,JUST_RENOVATED,FOR_SALE,9700,Oost-Vlaanderen
1310,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20264438,20264438,Oudenaarde,9700,297000.0,APARTMENT,APARTMENT,2,72.0,0.0,0,16.0,,4.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9700,Oost-Vlaanderen
1311,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-kapelle/1541/20027373,20027373,Sint-pieters-kapelle,1541,280000.0,HOUSE,HOUSE,3,,,0,,,3.0,0,353.0,INSTALLED,GOOD,FOR_SALE,1541,Vlaams-Brabant
1312,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20232101,20232101,Lubbeek,3210,497000.0,HOUSE,HOUSE,4,198.0,,0,0.0,890.0,4.0,0,1000.0,,JUST_RENOVATED,FOR_SALE,3210,Vlaams-Brabant
1313,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20241184,20241184,Lubbeek,3210,370000.0,HOUSE,HOUSE,3,161.0,0.0,0,,190.0,3.0,1,427.0,NOT_INSTALLED,AS_NEW,FOR_SALE,3210,Vlaams-Brabant
1314,https://www.immoweb.be/en/classified/villa/for-sale/lubbeek/3210/20256760,20256760,Lubbeek,3210,1348000.0,HOUSE,VILLA,5,347.0,,0,0.0,1.0,4.0,1,1961.0,HYPER_EQUIPPED,AS_NEW,FOR_SALE,3210,Vlaams-Brabant
1315,https://www.immoweb.be/en/classified/villa/for-sale/linden/3210/20189529,20189529,Linden,3210,555000.0,HOUSE,VILLA,5,251.0,0.0,0,0.0,,0.0,0,1550.0,INSTALLED,TO_RENOVATE,FOR_SALE,3210,Vlaams-Brabant
