,property_id,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
17238,20339065,1180,295000,APARTMENT,APARTMENT,3,108.0,0.0,0,17.0,0.0,3.0,1,0.0,INSTALLED,TO_RENOVATE
17240,11411416,3001,349000,APARTMENT,APARTMENT,3,101.0,0.0,1,13.0,0.0,0.0,1,0.0,HYPER_EQUIPPED,GOOD
17241,20178950,3440,299000,HOUSE,HOUSE,2,188.0,0.0,0,24.0,0.0,0.0,0,1680.0,SEMI_EQUIPPED,TO_BE_DONE_UP
17242,20357486,2100,219500,APARTMENT,GROUND_FLOOR,2,83.0,0.0,0,12.0,50.0,2.0,0,0.0,SEMI_EQUIPPED,AS_NEW
17243,20390575,2100,629000,HOUSE,EXCEPTIONAL_PROPERTY,5,240.0,0.0,0,25.0,80.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED
17244,20390577,2100,629000,HOUSE,TOWN_HOUSE,5,240.0,0.0,0,25.0,80.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED
17245,10671248,8540,244750,APARTMENT,APARTMENT,1,75.0,0.0,0,18.0,0.0,0.0,0,0.0,UNKNOWN,GOOD
17246,20390578,2100,629000,HOUSE,HOUSE,5,240.0,0.0,0,25.0,80.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED
17247,20357502,2100,175000,APARTMENT,APARTMENT,2,88.0,0.0,0,10.0,0.0,4.0,0,0.0,SEMI_EQUIPPED,TO_BE_DONE_UP
17248,20367105,2100,365000,APARTMENT,APARTMENT,2,120.0,0.0,0,5.0,0.0,2.0,0,0.0,HYPER_EQUIPPED,JUST_RENOVATED
17249,11277330,4280,410157,HOUSE,HOUSE,3,172.0,0.0,0,22.0,0.0,4.0,0,955.0,UNKNOWN,AS_NEW
17251,20285888,4280,1900000,HOUSE,CASTLE,11,1790.0,0.0,0,172.5,0.0,4.0,0,9764.0,UNKNOWN,AS_NEW
17252,20243482,4280,242000,APARTMENT,APARTMENT,2,82.0,0.0,0,12.0,0.0,3.0,0,0.0,UNKNOWN,UNKNOWN
17253,20159487,4280,168000,APARTMENT,GROUND_FLOOR,2,88.0,0.0,0,12.0,0.0,2.0,1,0.0,NOT_INSTALLED,GOOD
17254,11277225,4280,396405,HOUSE,HOUSE,4,189.0,0.0,0,24.0,0.0,4.0,0,955.0,UNKNOWN,AS_NEW
17255,10671260,8540,240000,APARTMENT,APARTMENT,1,75.0,0.0,0,18.0,0.0,0.0,0,0.0,UNKNOWN,GOOD
17256,20291747,2100,279000,APARTMENT,APARTMENT,2,88.0,0.0,0,45.0,45.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED
17260,20063947,4040,199000,HOUSE,HOUSE,5,207.0,0.0,0,18.0,20.0,3.0,1,240.0,SEMI_EQUIPPED,TO_RENOVATE
17262,20126103,5190,335000,HOUSE,VILLA,3,150.0,0.0,0,45.0,1700.0,4.0,0,1200.0,USA_HYPER_EQUIPPED,JUST_RENOVATED
17263,20401179,4040,264000,HOUSE,BUNGALOW,2,118.0,0.0,1,67.0,248.0,3.0,1,574.0,INSTALLED,AS_NEW
17264,20357396,4040,330000,HOUSE,HOUSE,3,166.0,0.0,0,23.0,58.0,3.0,1,154.0,INSTALLED,GOOD
17265,20365254,4040,149000,APARTMENT,APARTMENT,3,89.0,0.0,0,6.0,0.0,2.0,1,0.0,INSTALLED,TO_BE_DONE_UP
17266,20357384,4040,115000,APARTMENT,APARTMENT,2,70.0,0.0,0,4.0,0.0,3.0,1,0.0,INSTALLED,TO_RENOVATE
17267,11491351,4700,430000,APARTMENT,GROUND_FLOOR,2,117.0,0.0,0,18.0,40.0,3.0,1,0.0,UNKNOWN,JUST_RENOVATED
17268,11491232,4700,355000,APARTMENT,GROUND_FLOOR,2,114.0,0.0,0,9.0,10.0,4.0,1,0.0,UNKNOWN,JUST_RENOVATED
17270,20112346,4040,219000,HOUSE,HOUSE,3,165.0,0.0,0,50.0,450.0,4.0,1,787.0,SEMI_EQUIPPED,TO_RENOVATE
17271,11361358,8540,450000,HOUSE,VILLA,4,177.0,0.0,0,22.0,0.0,0.0,0,568.0,UNKNOWN,GOOD
17272,20140144,8790,450000,APARTMENT,APARTMENT,3,322.0,0.0,0,40.0,0.0,0.0,0,0.0,INSTALLED,GOOD
17273,20345859,3090,399000,HOUSE,HOUSE,1,115.0,0.0,0,60.0,0.0,3.0,1,0.0,HYPER_EQUIPPED,AS_NEW
17274,20069804,4040,210000,HOUSE,HOUSE,4,165.0,0.0,0,14.0,41.0,3.0,1,174.0,INSTALLED,GOOD
17275,20357492,2100,217500,APARTMENT,APARTMENT,2,90.0,0.0,0,6.0,0.0,3.0,0,0.0,SEMI_EQUIPPED,AS_NEW
17276,20400543,8300,614000,APARTMENT,APARTMENT,2,88.0,0.0,0,12.0,0.0,2.0,0,0.0,INSTALLED,JUST_RENOVATED
17277,20401685,8300,748000,APARTMENT,APARTMENT,2,84.0,0.0,0,12.0,0.0,0.0,0,0.0,UNKNOWN,GOOD
17278,20361296,3090,369000,HOUSE,HOUSE,3,168.0,0.0,0,21.0,0.0,2.0,1,350.0,UNKNOWN,UNKNOWN
17279,20109553,4700,330000,APARTMENT,PENTHOUSE,2,123.0,0.0,0,15.0,0.0,0.0,0,0.0,NOT_INSTALLED,AS_NEW
17280,20001187,4700,395000,APARTMENT,GROUND_FLOOR,2,108.0,0.0,0,14.0,59.0,3.0,1,0.0,UNKNOWN,JUST_RENOVATED
17281,20347333,4040,249900,HOUSE,HOUSE,7,250.0,0.0,0,34.0,0.0,2.0,1,230.0,INSTALLED,GOOD
17282,11491274,4700,350000,APARTMENT,APARTMENT,2,114.0,0.0,0,8.0,0.0,4.0,1,0.0,UNKNOWN,JUST_RENOVATED
17283,20372872,4040,80000,APARTMENT,APARTMENT,1,30.0,0.0,0,6.0,0.0,0.0,0,0.0,SEMI_EQUIPPED,TO_BE_DONE_UP
17284,20032979,8790,105000,APARTMENT,APARTMENT,1,40.0,0.0,0,10.0,0.0,0.0,0,0.0,INSTALLED,GOOD
17285,20343273,4040,199000,HOUSE,APARTMENT_BLOCK,3,183.0,0.0,0,27.0,0.0,2.0,1,120.0,SEMI_EQUIPPED,GOOD
17286,20399451,1000,165000,APARTMENT,APARTMENT,1,28.0,1.0,0,10.0,0.0,2.0,0,0.0,USA_SEMI_EQUIPPED,AS_NEW
17287,20307412,9470,199000,HOUSE,HOUSE,3,115.0,0.0,0,16.0,0.0,2.0,1,210.0,UNKNOWN,TO_BE_DONE_UP
17288,20159399,9320,219000,HOUSE,HOUSE,2,121.0,0.0,0,18.0,661.0,3.0,1,761.0,INSTALLED,TO_RENOVATE
17290,20104288,1730,325000,HOUSE,HOUSE,2,143.0,0.0,0,20.0,0.0,3.0,0,454.0,SEMI_EQUIPPED,GOOD
