link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/herenthout/2270/20225014,20225014,Herenthout,2270,432000,HOUSE,HOUSE,194,0,0,null,150,0,0,261,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herenthout/2270/20225011,20225011,Herenthout,2270,438500,HOUSE,HOUSE,199,0,0,null,140,0,0,231,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herenthout/2270/20226454,20226454,Herenthout,2270,442500,HOUSE,HOUSE,209,0,0,null,180,0,0,253,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bovesse/5081/20205204,20205204,Bovesse,5081,465000,HOUSE,HOUSE,120,,1,50,1400,4,1,2087,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/morialme/5621/20216922,20216922,Morialme,5621,175000,HOUSE,HOUSE,300,,0,null,null,3,0,210,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/mansion/for-sale/mettet/5640/11344884,11344884,METTET,5640,599000,HOUSE,MANSION,470,1,1,null,null,3,0,1439,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anhee-hautle-wastia/5537/20074434,20074434,Anhée Hautle-Wastia,5537,169000,HOUSE,HOUSE,165,0,0,,null,3,1,700,NOT_INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/annevoie-rouillon/5537/20141010,20141010,Annevoie-Rouillon,5537,65000,HOUSE,HOUSE,231,,0,,null,3,0,519,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anhee/5537/11348719,11348719,Anhée,5537,169000,HOUSE,HOUSE,124,0,0,,410,3,1,510,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/anhee/5537/20225460,20225460,Anhée,5537,199000,APARTMENT,APARTMENT,89,1,0,,null,0,0,,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/boechout/2530/20229160,20229160,Boechout,2530,1420000,HOUSE,HOUSE,617,0,0,,null,3,0,2335,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/mettet/5640/11414323,11414323,Mettet,5640,179000,APARTMENT,DUPLEX,126,,0,,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anhee/5537/20231180,20231180,AnhÉe,5537,385000,HOUSE,HOUSE,267,1,0,12,null,3,1,287,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gerard/5640/20030337,20030337,SAINT-GÉRARD,5640,450000,HOUSE,APARTMENT_BLOCK,230,,0,60,null,3,0,0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/heure/5377/20022582,20022582,HEURE,5377,115000,HOUSE,HOUSE,64,,0,null,547,4,0,547,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/farmhouse/for-sale/mettet/5640/11350692,11350692,Mettet,5640,479000,HOUSE,FARMHOUSE,222,,0,,null,4,0,3808,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mettet/5640/20163983,20163983,Mettet,5640,215170,HOUSE,HOUSE,153,,0,null,130,3,1,258,NOT_INSTALLED,AS_NEW,FOR_SALE
