link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20342377,20342377,SAINT-NICOLAS,4420,280000,HOUSE,HOUSE,161,,0,55,160,4,0,463,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anderlues/6150/20339230,20339230,Anderlues,6150,140000,HOUSE,HOUSE,172,,0,null,null,3,0,262,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20389952,20389952,Eeklo,9900,144500,HOUSE,HOUSE,74,,0,null,null,0,0,0,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/de-pinte/9840/20173704,20173704,De Pinte,9840,395000,APARTMENT,APARTMENT,122,,0,10,null,0,1,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20216068,20216068,GREZ-DOICEAU,1390,275000,HOUSE,HOUSE,70,,0,null,null,,0,249,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anderlues/6150/20356132,20356132,Anderlues,6150,485000,HOUSE,HOUSE,350,,0,null,null,3,0,740,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/11006456,11006456,Eeklo,9900,349000,APARTMENT,APARTMENT,100,0,0,,null,0,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/hulshout/2235/20343271,20343271,Hulshout,2235,499000,HOUSE,HOUSE,212,,0,24,null,3,0,0,USA_HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/11355693,11355693,Grez-Doiceau,1390,875000,HOUSE,HOUSE,396,,0,null,null,3,1,2002,NOT_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/montegnee/4420/20123103,20123103,MONTEGNÉE,4420,178137,APARTMENT,APARTMENT,60,,0,31,null,2,0,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/de-pinte/9840/20365807,20365807,DE PINTE,9840,649000,APARTMENT,APARTMENT,157,,0,60,null,0,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20363196,20363196,De Pinte,9840,495000,HOUSE,HOUSE,248,0,0,null,null,4,1,794,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/biez/1390/20236316,20236316,BIEZ,1390,545000,HOUSE,HOUSE,112,,0,null,null,4,0,1519,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anderlues/6150/20105552,20105552,ANDERLUES,6150,950000,HOUSE,HOUSE,616,,0,,null,4,0,1320,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20391001,20391001,Eeklo,9900,335000,HOUSE,HOUSE,181,0,0,,null,0,1,164,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/gilly/6060/20129097,20129097,Gilly,6060,140000,APARTMENT,GROUND_FLOOR,75,,0,null,null,0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20340396,20340396,SAINT-NICOLAS,4420,289000,HOUSE,HOUSE,187,,0,,588,2,1,743,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/eksaarde/9160/20367562,20367562,Eksaarde,9160,669000,HOUSE,VILLA,180,,0,,null,4,0,583,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/elouges/7370/20280694,20280694,Élouges,7370,355000,HOUSE,HOUSE,325,0,0,102,604,4,0,886,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/town-house/for-sale/charleroi-couillet/6010/20259981,20259981,Charleroi Couillet,6010,229000,HOUSE,TOWN_HOUSE,,,0,null,null,2,0,0,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/elouges/7370/20371118,20371118,ELOUGES,7370,250000,HOUSE,HOUSE,246,,0,,null,4,0,1209,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/11294351,11294351,DOUR,7370,76000,HOUSE,HOUSE,46,,0,null,null,2,0,0,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/wiheries/7370/20076385,20076385,Wihéries,7370,285000,HOUSE,HOUSE,198,,0,68,1302,4,0,1461,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/couillet/6010/10663908,10663908,COUILLET,6010,59999,HOUSE,HOUSE,105,0,0,null,null,2,1,102,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi-couillet/6010/11491964,11491964,Charleroi Couillet,6010,210000,HOUSE,HOUSE,,,0,,null,3,0,0,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/20001461,20001461,Dour,7370,115000,HOUSE,HOUSE,158,,0,18,46,2,0,150,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/20086021,20086021,Dour,7370,50000,HOUSE,HOUSE,139,0,0,,49,2,0,150,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6010/20344493,20344493,CHARLEROI,6010,99000,HOUSE,HOUSE,130,,0,null,null,,0,210,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/dour/7370/20126883,20126883,DOUR,7370,198000,APARTMENT,APARTMENT,87,0,0,6,null,3,0,,NOT_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/20136579,20136579,Dour,7370,125000,HOUSE,HOUSE,122,0,0,null,null,2,0,98,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6010/20389520,20389520,Charleroi,6010,225000,HOUSE,HOUSE,140,0,0,12,null,3,1,0,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/couillet/6010/10720248,10720248,COUILLET,6010,129999,HOUSE,HOUSE,65,0,0,35,267,3,1,266,INSTALLED,GOOD,FOR_SALE
